gene_id,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10
Gene_170,256,161,122,150,146,167,81,146,119,146
Gene_171,301,325,210,407,393,172,333,184,356,259
Gene_172,147,187,82,247,250,171,117,227,215,154
Gene_173,305,214,314,192,169,235,217,149,308,162
Gene_174,308,876,336,454,310,498,246,170,290,506
Gene_175,429,338,313,507,250,486,421,456,342,258
Gene_176,247,197,248,211,368,309,178,290,230,236
Gene_177,316,214,162,123,256,225,200,204,297,209
Gene_178,177,360,180,100,104,129,178,135,302,178
Gene_179,306,294,661,439,613,533,510,503,516,580
Gene_180,207,237,207,295,362,305,345,334,322,359
Gene_181,474,437,409,377,407,267,212,416,402,242
Gene_182,163,158,211,118,191,116,164,171,45,208
Gene_183,352,336,421,247,239,328,226,359,487,340
Gene_184,383,363,338,367,322,370,183,257,322,195
Gene_185,559,499,381,618,410,553,290,416,315,510
Gene_186,120,215,297,131,280,139,214,123,302,253
Gene_187,311,190,123,407,262,221,221,132,186,335
Gene_188,286,201,140,331,114,270,214,158,277,223
Gene_189,379,457,280,290,434,396,402,471,374,469
Gene_190,160,156,133,188,194,63,159,153,187,141
Gene_191,121,273,260,173,180,180,140,260,186,170
Gene_192,508,527,706,630,542,580,339,615,284,300
Gene_193,68,70,20,79,50,61,67,44,88,39
Gene_194,112,60,88,113,41,108,139,152,59,69
Gene_195,207,180,150,214,284,252,261,287,117,100
Gene_196,161,240,141,289,287,160,200,166,176,94
Gene_197,216,188,256,321,199,295,301,414,330,278
Gene_198,140,180,346,217,187,180,215,240,261,293
Gene_199,236,220,249,255,213,183,272,459,269,246
Gene_200,442,477,204,346,211,358,636,443,500,477
Gene_201,194,315,135,178,263,262,236,125,243,309
Gene_202,47,80,36,52,46,35,25,47,38,45
Gene_203,419,520,410,495,433,793,379,684,374,619
Gene_204,400,447,558,309,707,591,566,620,280,428
Gene_205,107,149,181,89,76,188,163,153,107,130
Gene_206,94,107,59,123,52,46,101,82,49,59
Gene_207,267,179,119,184,183,319,178,123,200,232
Gene_208,393,243,360,300,316,205,278,321,255,380
Gene_209,554,417,207,494,438,250,397,196,522,597
Gene_210,26,30,18,20,23,17,26,30,18,44
Gene_211,502,422,507,398,358,635,438,749,425,759
Gene_212,50,31,29,18,25,13,24,9,19,20
Gene_213,487,324,610,705,399,784,238,421,585,320
Gene_214,217,273,407,118,223,303,223,196,415,290
Gene_215,67,89,102,105,103,135,154,118,93,44
Gene_216,388,463,443,422,461,385,426,547,404,453
Gene_217,258,281,233,317,298,545,179,236,224,453
Gene_218,348,430,487,230,216,440,456,638,495,332
Gene_219,211,82,127,162,187,148,65,179,137,191
Gene_220,86,98,155,64,63,135,94,97,71,90
Gene_221,418,600,352,511,710,669,178,454,619,466
Gene_222,468,463,420,602,351,564,378,357,516,381
Gene_223,502,365,440,325,464,510,412,437,386,546
Gene_224,247,99,173,130,105,143,187,116,277,96
Gene_225,483,158,220,326,373,305,299,118,300,221
Gene_226,100,146,95,84,284,189,258,166,94,156
Gene_227,34,14,17,24,39,27,61,22,17,18
Gene_228,153,116,233,104,262,226,169,166,259,145
Gene_229,381,230,500,329,514,444,475,686,474,366
Gene_230,224,139,160,432,263,152,257,286,278,252
Gene_231,10,12,19,16,10,17,12,15,8,8
Gene_232,27,38,68,61,72,57,47,42,60,45
Gene_233,405,514,303,633,333,350,404,304,390,212
Gene_234,486,379,247,214,339,626,250,365,409,512
Gene_235,100,251,255,413,157,359,195,186,311,227
Gene_236,543,514,311,516,585,717,524,491,781,667
Gene_237,399,260,201,373,450,317,214,293,320,312
Gene_238,270,230,287,209,284,290,150,217,203,346
Gene_239,271,530,240,554,602,364,384,445,460,359
Gene_240,58,42,57,48,42,39,54,26,22,37
Gene_241,150,282,300,304,244,415,267,245,504,287
Gene_242,142,451,319,591,373,735,281,242,331,523
Gene_243,456,487,438,661,524,206,189,556,470,612
Gene_244,136,153,163,165,79,137,137,137,206,130
Gene_245,520,306,486,305,368,349,438,246,398,370
Gene_246,33,73,122,164,117,66,85,63,125,156
Gene_247,426,445,458,154,452,665,250,362,410,303
Gene_248,130,203,178,225,160,227,110,187,269,228
Gene_249,166,206,295,167,275,241,274,240,393,433
Gene_250,206,410,225,543,281,339,251,258,141,431
Gene_251,273,180,113,214,169,157,201,207,241,160
Gene_252,266,242,319,160,438,307,258,270,237,137
Gene_253,596,473,466,202,313,513,351,334,302,255
Gene_254,431,330,642,194,408,351,468,406,404,239
Gene_255,219,223,293,368,294,712,313,754,592,365
Gene_256,207,183,116,212,279,182,195,147,151,251
Gene_257,44,46,43,68,85,92,58,60,75,94
Gene_258,309,406,642,194,387,263,224,253,275,215
Gene_259,132,77,164,138,94,116,40,84,153,117
Gene_260,423,425,375,510,412,262,372,180,291,700
Gene_261,686,491,463,398,434,605,432,333,474,414
Gene_262,221,161,161,163,175,85,219,187,268,266
Gene_263,16,37,14,45,14,40,23,24,28,28
Gene_264,199,372,296,173,272,320,334,177,289,361
Gene_265,323,284,618,660,524,424,394,265,321,688
Gene_266,44,36,54,36,64,40,50,36,20,22
Gene_267,387,299,328,292,306,287,379,96,426,336
Gene_268,449,629,515,440,546,212,692,318,340,414
Gene_269,304,688,527,261,451,659,468,521,473,207
Gene_270,147,367,234,247,265,423,297,343,296,391
Gene_271,550,395,290,516,313,288,238,339,385,376
Gene_272,65,91,89,66,58,106,73,66,70,84
Gene_273,205,390,564,386,619,373,266,402,328,268
Gene_274,404,687,256,490,664,360,798,228,539,438
Gene_275,659,470,439,548,495,371,411,478,508,281
Gene_276,82,64,53,55,120,64,71,40,53,79
Gene_277,55,52,49,43,88,69,58,61,48,55
Gene_278,604,331,633,447,527,308,332,285,454,502
Gene_279,300,319,366,303,232,308,377,268,222,424
Gene_280,107,163,166,118,122,135,85,185,119,141
Gene_281,472,326,331,449,433,324,309,409,359,352
Gene_282,51,42,81,59,111,58,76,82,76,100
Gene_283,123,67,142,161,135,73,76,106,122,123
Gene_284,204,325,280,731,464,159,348,353,359,140
Gene_285,25,34,25,21,27,16,11,17,26,48
Gene_286,293,119,122,272,164,161,83,187,150,162
Gene_287,92,48,73,71,53,76,36,54,75,82
Gene_288,199,121,87,161,208,145,136,140,208,230
Gene_289,415,413,353,597,355,265,304,380,396,533
Gene_290,176,223,174,344,352,367,230,216,215,246
Gene_291,37,19,39,23,52,50,53,99,61,49
Gene_292,122,133,65,41,111,80,92,113,124,75
Gene_293,171,260,790,343,278,373,425,276,469,262
Gene_294,45,34,50,59,68,47,43,78,97,66
Gene_295,190,283,159,284,244,223,229,234,218,165
Gene_296,126,291,223,331,332,278,272,213,296,288
Gene_297,158,142,99,174,57,115,122,141,76,88
Gene_298,446,465,484,486,573,432,408,591,305,549
Gene_299,77,103,76,50,77,70,49,116,113,48
Gene_300,125,348,314,229,309,203,316,367,207,184
Gene_301,311,192,235,270,188,313,167,107,312,178
Gene_302,43,29,29,54,36,35,45,40,20,44
Gene_303,321,176,741,633,523,271,406,583,316,440
Gene_304,174,231,241,230,181,276,234,158,152,165
Gene_305,590,383,613,357,351,167,580,386,622,476
Gene_306,21,19,49,37,21,20,36,34,16,27
Gene_307,232,228,254,215,212,205,146,123,296,335
Gene_308,363,309,424,377,402,382,341,194,181,235
Gene_309,234,512,420,385,439,225,325,406,1029,433
Gene_310,134,156,99,110,66,145,50,170,187,145
Gene_311,14,13,3,12,15,12,10,5,8,7
Gene_312,221,165,286,294,174,168,206,195,389,183
Gene_313,42,35,22,21,17,51,15,57,35,15
Gene_314,404,349,490,282,303,671,572,595,340,402
Gene_315,112,67,86,76,81,200,93,79,83,79
Gene_316,237,570,386,419,455,256,367,393,260,423
Gene_317,237,175,166,296,217,312,181,275,324,429
Gene_318,321,444,258,132,199,182,272,219,302,322
Gene_319,533,514,298,489,593,473,251,555,405,403
Gene_320,716,301,349,488,310,495,540,351,413,353
Gene_321,205,299,379,267,276,381,286,188,267,270
Gene_322,304,156,306,176,317,231,339,297,282,317
Gene_323,116,189,169,158,125,248,137,138,203,105
Gene_324,16,23,11,18,15,15,16,14,21,19
Gene_325,105,96,150,58,154,120,118,170,90,83
Gene_326,209,240,176,175,204,176,129,209,147,91
Gene_327,196,274,121,207,109,187,243,181,158,276
Gene_328,153,378,233,174,223,146,354,52,142,157
Gene_329,135,122,157,130,64,123,210,181,75,96
Gene_330,253,235,328,834,451,388,274,202,328,511
Gene_331,90,124,108,100,60,123,117,121,87,88
Gene_332,306,706,491,440,534,330,580,728,370,308
Gene_333,171,269,259,310,302,213,361,373,227,424
Gene_334,276,262,242,240,248,319,268,257,166,186
Gene_335,260,88,145,156,118,112,202,203,153,235
Gene_336,94,40,80,34,63,110,71,109,70,92
Gene_337,334,595,234,295,486,537,363,449,284,397
Gene_338,245,204,405,256,154,281,196,481,311,194
Gene_339,85,124,53,89,114,105,165,99,87,151
Gene_340,828,420,288,775,290,922,532,452,384,745
Gene_341,118,44,127,59,72,86,57,140,94,98
Gene_342,165,191,274,218,431,230,153,120,117,140
Gene_343,132,138,165,188,121,136,91,158,203,244
Gene_344,80,103,127,95,115,93,100,101,98,84
Gene_345,254,187,450,441,215,250,228,346,407,281
Gene_346,24,11,38,26,15,13,21,29,12,18
Gene_347,367,428,419,406,444,604,354,472,349,350
Gene_348,299,590,299,314,273,387,501,202,327,377
Gene_349,64,153,85,61,162,124,174,162,194,160
Gene_350,396,602,241,183,578,401,807,392,688,500
Gene_351,333,584,230,580,312,361,387,466,661,625
Gene_352,311,323,349,282,132,210,252,333,349,399
Gene_353,14,31,41,24,27,31,37,24,54,38
Gene_354,284,259,317,300,241,262,286,301,259,285
Gene_355,53,45,43,62,41,62,35,66,82,60
Gene_356,20,25,14,26,11,16,26,31,17,28
Gene_357,149,95,118,86,70,103,81,113,115,125
Gene_358,767,344,347,334,417,449,315,765,372,651
Gene_359,242,270,192,147,192,282,191,222,217,156
Gene_360,430,366,696,309,284,233,237,367,336,494
Gene_361,609,546,227,216,516,475,723,458,347,301
Gene_362,214,117,100,109,140,253,68,153,128,190
Gene_363,363,338,527,295,623,296,423,386,397,199
Gene_364,452,249,434,368,213,238,323,169,224,245
Gene_365,68,77,54,54,34,65,61,87,62,36
Gene_366,409,384,392,355,434,408,471,462,330,502
Gene_367,233,199,194,388,310,228,154,145,359,214
Gene_368,426,242,236,386,381,95,397,322,228,356
Gene_369,88,204,400,279,281,255,209,333,139,273
Gene_370,451,548,445,250,602,298,621,587,812,305
Gene_371,316,329,312,285,316,299,367,182,312,348
Gene_372,180,89,87,135,97,167,85,111,60,170
Gene_373,208,248,447,399,728,252,464,543,569,432
Gene_374,431,285,195,276,253,306,169,280,409,344
Gene_375,357,247,252,104,194,293,286,193,304,189
Gene_376,373,533,467,474,870,508,581,246,323,471
Gene_377,310,469,243,255,170,96,239,178,235,238
Gene_378,205,203,489,156,362,376,361,237,195,277
Gene_379,393,477,591,307,308,522,286,347,208,393
Gene_380,695,425,408,586,285,199,311,492,346,600
Gene_381,450,273,282,213,356,159,346,311,386,436
Gene_382,599,577,484,463,311,602,577,426,413,350
Gene_383,289,382,357,613,352,534,237,312,704,239
Gene_384,315,466,420,572,478,517,261,349,468,221
Gene_385,346,416,281,321,442,612,192,242,421,435
Gene_386,196,226,247,364,302,235,313,507,333,279
Gene_387,144,107,209,152,95,52,124,123,337,179
Gene_388,142,133,119,161,190,160,176,182,107,215
Gene_389,100,145,92,93,75,101,87,66,124,101
Gene_390,141,122,182,117,99,255,208,103,116,202
Gene_391,393,391,306,409,361,382,336,379,423,450
Gene_392,332,229,324,390,197,364,610,421,260,400
Gene_393,187,156,167,176,123,139,137,163,145,205
Gene_394,133,148,145,226,183,234,73,104,128,230
Gene_395,351,648,646,515,319,596,536,548,551,659
Gene_396,155,237,189,177,119,265,124,161,111,131
Gene_397,123,33,74,165,85,55,72,137,178,115
Gene_398,255,102,222,118,390,221,146,187,137,146
Gene_399,457,293,168,264,271,588,178,521,380,394
Gene_400,187,113,206,294,184,281,192,143,195,147
Gene_401,332,449,565,186,390,332,541,476,294,355
Gene_402,225,200,175,287,261,274,180,246,148,192
Gene_403,554,507,351,634,353,419,267,585,599,422
Gene_404,65,43,76,77,85,113,123,99,138,109
Gene_405,16,18,13,26,12,27,12,16,18,14
Gene_406,195,144,194,280,158,273,190,239,261,115
Gene_407,224,115,18,165,218,134,109,118,201,180
Gene_408,325,158,217,167,219,153,146,184,153,210
Gene_409,61,71,105,40,73,33,64,105,62,122
Gene_410,334,275,198,286,428,322,479,364,387,497
Gene_411,473,360,435,226,500,593,675,375,461,492
Gene_412,233,411,307,435,617,477,312,199,223,333
Gene_413,129,270,184,247,309,280,428,309,276,401
Gene_414,378,177,444,458,529,447,377,256,457,375
Gene_415,36,11,14,21,16,17,10,36,13,19
Gene_416,399,315,571,343,404,360,561,441,286,517
Gene_417,243,260,219,315,261,381,163,451,379,170
Gene_418,332,406,297,304,516,332,269,335,181,237
Gene_419,391,540,386,958,277,517,336,776,399,255
Gene_420,550,390,462,326,501,432,261,351,384,148
Gene_421,403,475,550,329,287,351,292,566,392,490
Gene_422,353,390,551,307,317,288,305,178,397,233
Gene_423,109,232,384,395,101,262,344,177,236,193
Gene_424,151,168,89,186,165,209,164,91,108,144
Gene_425,401,293,184,242,413,289,279,238,256,301
Gene_426,180,272,193,191,163,145,116,169,96,154
Gene_427,106,63,79,65,116,85,80,107,123,140
Gene_428,208,186,376,275,373,350,320,572,235,239
Gene_429,218,260,362,211,206,256,132,425,230,312
Gene_430,232,118,157,265,183,153,166,114,156,90
Gene_431,94,313,378,113,319,256,245,298,360,351
Gene_432,90,83,72,115,94,101,68,70,92,72
Gene_433,148,360,336,318,406,416,456,230,293,252
Gene_434,430,437,334,362,242,291,274,390,589,351
Gene_435,165,112,126,328,211,190,436,228,175,298
Gene_436,89,103,113,83,82,29,59,53,75,105
Gene_437,328,448,261,367,623,270,284,535,389,306
Gene_438,523,567,607,438,450,390,252,642,1192,398
Gene_439,373,428,125,217,312,147,256,288,254,238
Gene_440,363,528,351,428,557,494,873,310,442,559
Gene_441,42,15,66,59,59,35,41,48,35,49
Gene_442,311,680,293,352,613,271,569,314,395,343
Gene_443,299,248,362,632,162,290,318,349,481,342
Gene_444,795,435,347,601,802,413,732,313,542,604
Gene_445,112,62,77,68,93,176,109,128,95,106
Gene_446,145,240,386,252,189,200,190,229,196,97
Gene_447,572,319,509,629,568,285,419,280,432,392
Gene_448,314,219,186,188,238,189,156,181,238,139
Gene_449,483,390,387,574,255,249,275,384,438,192
Gene_450,35,100,139,200,126,236,79,127,132,80
Gene_451,422,546,221,383,296,509,572,530,301,432
Gene_452,126,102,132,145,166,175,85,87,162,174
Gene_453,91,101,54,71,91,70,34,64,39,96
Gene_454,237,439,312,237,219,333,159,246,242,164
Gene_455,169,112,120,138,128,175,169,169,173,158
Gene_456,469,335,451,272,275,345,502,554,199,533
Gene_457,443,451,581,256,430,271,401,276,323,219
Gene_458,339,313,278,214,187,140,329,243,219,166
Gene_459,11,9,13,24,29,22,6,10,29,8
Gene_460,151,138,122,216,82,195,293,94,429,239
Gene_461,39,9,23,39,13,33,24,36,26,19
Gene_462,403,541,293,381,434,328,206,711,654,572
Gene_463,141,208,137,145,82,117,92,60,110,125
Gene_464,765,414,327,527,550,404,400,486,358,279
Gene_465,173,154,180,126,200,109,140,183,194,197
Gene_466,357,185,237,188,261,247,144,268,173,214
Gene_467,18,13,11,12,8,8,21,10,13,19
Gene_468,345,531,473,711,224,393,293,436,541,448
Gene_469,133,357,272,353,240,389,132,128,329,324
Gene_470,64,46,78,55,48,52,141,92,81,64
Gene_471,608,539,225,221,263,541,274,352,541,635
Gene_472,110,294,237,136,142,206,200,191,134,118
Gene_473,16,11,20,17,13,16,11,16,16,17
Gene_474,191,467,561,306,230,367,394,339,340,311
Gene_475,192,115,99,209,187,161,140,173,187,76
Gene_476,533,444,302,278,373,642,356,508,478,525
Gene_477,72,94,82,88,125,185,106,64,79,77
Gene_478,215,167,137,69,115,114,189,84,142,87
Gene_479,337,626,301,336,398,278,303,436,467,184
Gene_480,496,465,644,463,558,457,469,648,326,303
Gene_481,188,147,136,218,94,216,139,146,180,239
Gene_482,391,286,302,213,226,243,160,289,275,227
Gene_483,25,70,45,57,37,63,60,88,78,92
Gene_484,40,47,47,43,54,77,57,46,49,55
Gene_485,215,645,726,320,397,271,290,475,224,310
Gene_486,45,60,117,141,214,88,119,147,115,119
Gene_487,354,167,491,313,293,364,508,504,207,325
Gene_488,61,84,89,113,114,66,40,53,87,101
Gene_489,161,78,168,148,186,117,126,145,93,255
Gene_490,351,210,248,332,348,180,251,536,246,261
Gene_491,40,16,18,42,36,53,44,53,34,37
Gene_492,117,159,283,97,243,157,110,231,191,125
Gene_493,113,187,104,253,205,178,168,204,220,131
Gene_494,62,88,47,59,59,81,65,70,57,42
Gene_495,317,157,230,231,172,128,316,210,144,135
Gene_496,394,215,273,427,296,307,267,287,160,259
Gene_497,167,284,299,613,426,270,272,241,293,231
Gene_498,101,144,95,201,236,195,187,185,80,250
Gene_499,567,316,333,321,384,249,284,317,290,316
Gene_500,23,32,42,31,69,39,38,32,32,71
Gene_501,227,486,186,534,300,211,328,396,296,413
Gene_502,185,567,357,220,233,256,406,270,215,328
Gene_503,483,139,352,275,328,312,232,282,547,133
Gene_504,424,332,250,227,433,232,277,291,477,269
Gene_505,547,381,266,713,320,329,297,246,430,293
Gene_506,16,15,34,20,13,23,14,8,19,26
Gene_507,32,25,40,43,67,58,48,38,21,50
Gene_508,468,318,329,363,542,204,419,484,387,286
Gene_509,214,296,258,402,336,320,422,370,222,319
Gene_510,139,130,163,154,97,174,220,249,80,237
Gene_511,334,502,414,293,547,487,178,442,371,406
Gene_512,328,326,273,365,411,239,214,303,395,232
Gene_513,194,288,354,201,242,366,164,313,354,184
Gene_514,506,249,255,226,349,270,197,277,243,245
Gene_515,461,393,330,254,345,289,311,328,184,598
Gene_516,191,137,219,90,214,83,152,115,189,95
Gene_517,617,480,241,411,578,882,452,455,193,419
Gene_518,132,272,136,407,228,102,97,254,103,241
Gene_519,274,217,212,281,332,329,122,189,455,395
Gene_520,355,526,306,547,287,486,348,446,403,536
Gene_521,215,277,182,242,259,351,379,305,145,168
Gene_522,145,92,146,72,99,88,61,21,105,111
Gene_523,319,472,763,335,500,707,332,318,942,404
Gene_524,346,350,252,214,504,570,186,713,328,351
Gene_525,88,74,82,68,67,62,70,98,55,87
Gene_526,322,257,366,190,252,455,217,323,590,357
Gene_527,156,197,97,172,233,193,188,225,143,257
Gene_528,349,344,326,467,125,349,501,249,285,299
Gene_529,81,76,92,67,88,55,70,79,109,68
Gene_530,386,118,286,493,377,222,372,242,365,402
Gene_531,499,318,375,300,297,202,290,322,431,237
Gene_532,114,89,119,142,112,94,112,113,78,128
Gene_533,202,372,268,367,345,194,267,84,149,314
